reference,trial_name,source,country ,setting,study year,participants,intervention,duration of intervention,intervention combined with hygiene and/or sanitation component,baseline water/water in control group,provided safe water storage,effect estimate (on diarrhea),lower 95% confidence interval,upper 95% confidence interval,study evaluating a specific intervention vs. survey data analyses,quality rating,transition (according to Figure 1 and Table 2),number of participants,notes,compliance,compliance_definition,intervention_start,mortality_reported,diarrhea_prevalence,baseline_water_contamination,notes_new,included
"Aiken, B. A., C. E. Stauber, G. M. Ortiz and M. D. Sobsey (2011). ""An assessment of continued use and health impact of the concrete biosand filter in Bonao, Dominican Republic."" American Journal of Tropical Medicine & Hygiene 85(2): 309-317.",,"Wolf et al., 2018",Dominican Republic,urban,2007,all ages,"POU, biosand filter",12,no,unimproved,no,0.4,0.2,0.76,study evaluating a specific intervention,0.33,f,369 intervention + 279 control,,0.9,biosand filters were still in use after approximately 1 year since installation,2007,0,37 (cases per person week),28.3 MPN/100 ml E. coli,"diarrhea rate calculated using approximated average from weekly graph, participation was contingent on installation, stated compliance rate was based on follow up",
"Alam N, Wojtyniak B, Henry FJ, Rahaman MM. Mothers' personal and domestic hygiene and diarrhoea incidence in young children in rural Bangladesh. Int J Epidemiol 1989; 18: 242-7.",,"Wolf et al., 2018",Bangladesh,rural,1989,children<=5years,"community piped water supply, hygiene education",34,yes,unimproved,no,0.83,0.77,0.89,study evaluating a specific intervention,0.17,a,623 children,,,not reported,1989,0,4.1 (cases per child year),NA,,
"Arnold B, Arana B, Mäusezahl D, Hubbard A, Colford JM Jr. Evaluation of a pre-existing, 3-year household water treatment and handwashing intervention in rural Guatemala. Int J Epidemiol 2009; 38: 1651-61.",,"Wolf et al., 2018",Guatemala,rural,2007,children<=5years,"POU, chlorination, solar treatment, boiling, hygiene education",36,yes,improved,no,1.03,0.65,1.65,study evaluating a specific intervention,0.25,w,"600 households, 929 children <5 and 1858 child.days of observation",,,not reported,2007,0,107 days of illness/910 days of observation,NA,,
Austin CJ. Investigation of in-house water chlorination and its effectiveness for rural areas of the Gambia. [New Orleans]: Tulane University School of Public Health and Tropical Medicine; 1993.,,"Wolf et al., 2018",The Gambia,rural,1991,children<=5years,"POU, chlorination",5,no,unimproved,no,1.02,0.34,3.07,study evaluating a specific intervention,0.42,d,431 children <5,combined effect estimates for children <=2 and children >2-5 years old,,not reported,1991,0,,,,
"Aziz KM, Hoque BA, Hasan KZ, et al. Reduction in diarrhoeal diseases in children in rural Bangladesh by environmental and behavioural modifications. Trans R Soc Trop Med Hyg 1990; 84: 433-8.",,"Wolf et al., 2018",Bangladesh,rural,1984,children<=5years,"community improved water supply, hygiene education, latrine intervention",36,yes,unimproved,no,0.74,0.69,0.8,study evaluating a specific intervention,0,a,"820 households intervention, 750 households control",combined effect estimates across three timepoints (1985-1987),,not reported,1984,0,,,,
"Begum S., Ahmed M., Sen B., Do Water and Sanitation Interventions Reduce Childhood Diarrhoea? New Evidence from Bangladesh. Bangladesh Development Studies Vol. XXXIV, September 2011, No. 3",,"Wolf et al., 2018",Bangladesh,mixed,2007,children<=5years,community improved water supply,-,no,unimproved,no,1.04,0.51,2.1,survey data analysis,0.25,a,"in total: 10,819 households, 11,458 women interviewed",,,not reported,2007,0,NA,NA,,
"Boisson S, Stevenson M, Shapiro L, Kumar V, Singh LP, Ward D, Clasen T. Effect of Household-Based Drinking Water Chlorination on Diarrhoea among Children under Five in Orissa, India: A Double-Blind Randomised Placebo-Controlled Trial. PLoS Med. 2013 Aug;10(8):e1001497. doi: 10.1371/journal.pmed.1001497. Epub 2013 Aug 20.","Boisson et al., 2013","Wolf et al., 2018",India,mixed,2011,children<=5years,"POU, chlorination",12,no,unimproved,no,0.99,0.84,1.15,study evaluating a specific intervention,0.67,d,"2986 children under 5, 12,454 people, 2163 households (1083 households control, 1080 households intervention)",,0.32,water samples tested positive for residual chlorine,2010,1,"1.74% (under 5, days with diarrhea/days of obs), .608 (all ages, days with diarrhea/days of obs)","32% RFC (checked compliance, 51% self report",,1
"Brown J, Sobsey MD, Loomis D. Local drinking water filters reduce diarrheal disease in Cambodia: a randomized, controlled trial of the ceramic water purifier. Am J Trop Med Hyg 2008; 79: 394-400.",,"Wolf et al., 2018",Cambodia,rural,2008,children<=5years,"POU, ceramic filter",5.5,no,unimproved,yes,0.61,0.45,0.83,study evaluating a specific intervention,0.58,f,"239 children under 5, 1196 people, 180 households",combined effect estimates of ceramic water purifier and iron-rich ceramic filter ,0.98,filters in use at allvisits,2008,0,".15 (mean longitudinal prevalence over 18 weeks), .25 (under-5 mean longitudinal prevalence)","arithmetic: 3,000 e. coli/ 100 ml, geometric 600 e. coli/ 100 ml",,
"Brown, J. Improving Household Drinking Water Quality: Use of Ceramic Water Filteres in Cambodia. Field Note. Water and Sanitation Program, UNICEF. 2007",,"Wolf et al., 2018",Cambodia,mixed,2007,children<=5years,"POU, ceramic filter",48,no,unimproved,yes,0.52,0.32,0.86,study evaluating a specific intervention,0.25,f,"160 households (80 intervention, 80 control)",,0.31,using the filter regularly at the time of follow up,2007,0,"proportion of individuals reporting diarrhea in the previous 7 days over 2.5 month study period: All Ages(Intervention: 0.1, Control: 0.18); other variables contain- age, sex, province",,,
"Brown, J., V. T. Hien, L. McMahan, M. W. Jenkins, L. Thie, K. Liang, E. Printy and M. D. Sobsey (2013). ""Relative benefits of on-plot water supply over other 'improved' sources in rural Vietnam."" Tropical Medicine and International Health 18(1): 65-74.",,"Wolf et al., 2018",Vietnam,rural,2012,all ages,piped water to premise,4,no,improved,no,0.59,0.39,0.91,study evaluating a specific intervention,0.33,r,"224 intervention, 76 control households",,0.91,"had stored, boiled water on hand at the time of follow-up visits",2012,0,1156(total) respondent to provide a 1-week recall of diarrhoeal illness for herself and all members of her household,,,
"Capuno J., Tan C., Fabella V. Do Piped Water and Flush Toilets Prevent Child Diarrhea in Rural Philippines? Asia Pacific Journal of Public Health 2011;20(10):1-11",,"Wolf et al., 2018",Philippines,rural,1993,children<=5years,piped water to premise,-,no,improved,no,0.82,0.63,1.08,survey data analysis,0.25,r,"3116 households, 5041 children <5",effect estimates are for different years: 1993,,not reported,1993,0,10.3%(total) 11.5%(rural) percentage of under-5 children had diar-rhea (all cases) during the 2-week period prior to the survey interview,,,
"Capuno J., Tan C., Fabella V. Do Piped Water and Flush Toilets Prevent Child Diarrhea in Rural Philippines? Asia Pacific Journal of Public Health 2011;20(10):1-11",,"Wolf et al., 2018",Philippines,rural,1998,children<=5years,piped water to premise,-,no,improved,no,1.14,0.82,1.6,survey data analysis,0.25,r,"3150 households, 5004 children <5",effect estimates are for different years: 1998,,not reported,1993,0,7.9%%(total) 8.5%(rural) percentage of under-5 children had diar-rhea (all cases) during the 2-week period prior to the survey interview,,,
"Capuno J., Tan C., Fabella V. Do Piped Water and Flush Toilets Prevent Child Diarrhea in Rural Philippines? Asia Pacific Journal of Public Health 2011;20(10):1-11",,"Wolf et al., 2018",Philippines,rural,2003,children<=5years,piped water to premise,-,no,improved,no,0.73,0.51,1.03,survey data analysis,0.25,r,"2585 households, 3854 children <5",effect estimates are for different years: 2003,,not reported,1993,0,11%%(total) 11.2%(rural) percentage of under-5 children had diar-rhea (all cases) during the 2-week period prior to the survey interview,,,
"Capuno J., Tan C., Fabella V. Do Piped Water and Flush Toilets Prevent Child Diarrhea in Rural Philippines? Asia Pacific Journal of Public Health 2011;20(10):1-11",,"Wolf et al., 2018",Philippines,rural,2008,children<=5years,piped water to premise,-,no,improved,no,0.7,0.46,1.06,survey data analysis,0.25,r,"2663 households, 3777 children <5",effect estimates are for different years: 2008,,not reported,1993,0,9%(total) 9.1%(rural) percentage of under-5 children had diar-rhea (all cases) during the 2-week period prior to the survey interview,,,
"Cha S, Kang D, Tuffuor B, Lee G, Cho J, Chung J, et al. The Effect of Improved Water Supply on Diarrhea Prevalence of Children under Five in the Volta Region of Ghana: A Cluster-Randomized Controlled Trial. Int J Environ Res Public Health. 2015 Oct;12(10):12127-43.",,"Wolf et al., 2018",Ghana,rural,2012-2014,children<=5years,"community improved water supply, hygiene education, latrine construction in schools and markets",16,yes,unimproved,no,0.89,0.82,0.97,study evaluating a specific intervention,0.33,a,"305 children in 10 intervention, 302 children in 10 control communities",,0.843,questionnaire results whether a household was utilizing boreholes drilled or rehabilitated by the KOICA-World Vision project as their main water source.,2012,0,31.30%(14-day prevalence of reported diarrhea in the household detected by parental report),,,
