trial,trial_name,treatment_all,treatment_combined,treatment_arm,treatment_arm_combined,treatment_notes,water_intervention,effect,notes,ccases,cnoncases,tcases,tnoncases,obs,notes_cases,prevalence,takeup_control,notes_takeup_control,mortality_preregistered,mortality_preregistered_notes,mortality_reporting,weeks,diarrhea_effects,data_source,cluster_rand,n clust ctrl,n clust trt,cluster_note
"Boisson et al., 2010 (Filtration vs. control (w/placebo))","Boisson et al., 2010",Filtration,0,Filtration,0,,Filtration,<5 mortality,bad placebo,1,104,4,81,190,,0.0896,,,0,,"Flow diagram, discussed in text",52,,Paper,0,,,"Treatment was randomized at the household level. 120 households were assigned to each treatment group. 66 households in the control group had children under 5, and 57 in the treatment group"
"Boisson et al., 2013 (Chlor vs. control (placebo))","Boisson et al., 2013",Chlorination,0,Chlorination,0,,Chlorination,<5 mortality,,1,1483,2,1505,2991,,0.052,0.02,Presence of residual free chlorine,0,,Discussed in text,52,0.99,Microdata,0,,,Treatment was randomized at the household level. 1083 households were assigned to control and 1080 to treatment.
"Chiller et al., 2006 (Floc vs control)","Chiller et al., 2006",Flocculant-disinfectant + safe storage,1,Flocculant-disinfectant + safe storage,1,,Chlorination,<5 mortality,no deaths in treatment,1,543,0,549,1093,,0.06,0.003,"Percent of households having used floculant disinfectant in the past, at baseline",0,,Not reported,13,0.61,Microdata,1,21,21,"clusters of 5-22 eligible households (neighborhoods), half assigned to treatment"
"Conroy et al., 1999 (SODIS vs control)","Conroy et al., 1999",SODIS,0,SODIS,0,"Wolf et al. also lists safe storage as an intervention, but there's no indication of it in the paper",SODIS,<6 mortality,,2,130,1,131,349,From text. 175 children were assigned to treatment and 174 to control. Loss to follow up was high due to a drought,0.581,,,0,,Discussed in text,52,0.69,Paper,0,,,"treatment was randomized at households level, with 70 households in each arm"
"Crump et al., 2005 (Chlor + Floc vs. control)","Crump et al., 2005",Chlorination; Floc,0,Chlorination; Floc,0,,Chlorination,<5 mortality,,15,447,9,872,1343,,0.096,0.05,"Percentage of households with ""effective free chlorine concentration"" - in unannounced visits",0,,"Flow diagram, discussed in text, reported as outcome",20,0.79,Microdata,1,201,404,randomized by family compound / household level
"Crump et al., 2005 (Chlor vs. control)","Crump et al., 2005",Chlorination; Floc,0,Chlorination,0,,Chlorination,<5 mortality,,15,505,4,502,1026,,0.096,0.05,"Percentage of households with ""effective free chlorine concentration"" - in unannounced visits",0,,"Flow diagram, discussed in text, reported as outcome",20,0.79,Microdata,1,201,203,randomized by family compound / household level
"Crump et al., 2005 (Floc vs. control)","Crump et al., 2005",Chlorination; Floc,0,Floc,0,,Chlorination,<5 mortality,,15,505,5,507,1032,,0.096,0.05,"Percentage of households with ""effective free chlorine concentration"" - in unannounced visits",0,,"Flow diagram, discussed in text, reported as outcome",20,0.79,Microdata,1,201,201,randomized by family compound / household level
"du Preez et al., 2011 (SODIS vs. control)","du Preez et al., 2011",SODIS,0,SODIS,0,,SODIS,<5 mortality,,3,534,3,555,695,From Figure 1. 579 children were assigned to treatment and 554 to control. political violence led to displacement during study,0.052,,,1,"mentioned reduction of mortality as a hypothesis, but did not list mortality in outcome in https://clinicaltrials.gov/study/NCT01306383?term=NCT01306383.&rank=1#study-plan","Flow diagram, discussed in text",78,0.63,Paper,0,,,"treatment was randomized by household in this study, not by cluster. 789 households were included"
"Dupas et al., 2021 (Coupons + Free Delivery vs control)","Dupas et al., 2021",Coupons; WASH education; Coupon + WASH education; Free delivery + WASH education; Free delivery + WASH education + Chlorine rationing,1,,0,,Chlorination,<5 mortality,,2,1321,5,1288,2616,,0.124,0.064,Positive chlorine test,0,not listed as outcome in https://www.socialscienceregistry.org/trials/2893,Not reported,61,0.77,Microdata,0,,,Coupons were randomized at household-level. Free delivery was randomized at promoter level
"Haushofer et al., 2020 (W vs. passive control)","Haushofer et al., 2020",Chlorination,0,Chlorination,0,"Classified as not combined because the paper argues that since only 11 weeks passed between the intervention and the endline, the intervention is unlikely to have affected mortality",Chlorination,<5 mortality,,22,965,7,987,1981,,0.271,0.158,Free Chlorine Residual Score > 0.1 (unannounced visit),0,,"Reported as outcome, discussed in text",260,0.323,Microdata,1,41,41,from John and Orkin (focus of the paper) - clusters based on neighboring villages (1-3) to ensure at least 6 women per cluster
