ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
AFG,Afghanistan,total,Drinking water,2017,67.06462,23828117.03559,At least basic
AFG,Afghanistan,total,Drinking water,2017,3.17404,1127740.68685,Limited service
AFG,Afghanistan,total,Drinking water,2017,10.87738,3864742.13848,Surface water
AFG,Afghanistan,total,Drinking water,2017,18.88395,6709484.13908,Unimproved
AGO,Angola,total,Drinking water,2017,55.8429,16632359.12238,At least basic
AGO,Angola,total,Drinking water,2017,9.97566,2971171.4084,Limited service
AGO,Angola,total,Drinking water,2017,15.38629,4582682.06561,Surface water
AGO,Angola,total,Drinking water,2017,18.79514,5597981.4036,Unimproved
AIA,Anguilla,total,Drinking water,2017,97.48227,14533.63227,At least basic
AIA,Anguilla,total,Drinking water,2017,0,0,Limited service
AIA,Anguilla,total,Drinking water,2017,0,0,Surface water
AIA,Anguilla,total,Drinking water,2017,2.51773,375.36773,Unimproved
ALB,Albania,total,Drinking water,2017,21.01608,615810.38046,Basic service
ALB,Albania,total,Drinking water,2017,5.1252,150178.08329,Limited service
ALB,Albania,total,Drinking water,2017,70.02315,2051809.23355,Safely managed service
ALB,Albania,total,Drinking water,2017,0,0,Surface water
ALB,Albania,total,Drinking water,2017,3.83557,112389.30269,Unimproved
AND,Andorra,total,Drinking water,2017,9.36,7203.92373,Basic service
AND,Andorra,total,Drinking water,2017,0,0,Limited service
AND,Andorra,total,Drinking water,2017,90.64,69761.07341,Safely managed service
AND,Andorra,total,Drinking water,2017,0,0,Surface water
AND,Andorra,total,Drinking water,2017,0,0.00286,Unimproved
ARE,United Arab Emirates,total,Drinking water,2017,98.04551,9216419.78238,At least basic
ARE,United Arab Emirates,total,Drinking water,2017,1.90775,179331.18657,Limited service
ARE,United Arab Emirates,total,Drinking water,2017,0,0,Surface water
ARE,United Arab Emirates,total,Drinking water,2017,0.04674,4394.03105,Unimproved
ARM,Armenia,total,Drinking water,2017,13.43702,393765.20199,Basic service
ARM,Armenia,total,Drinking water,2017,0,0,Limited service
ARM,Armenia,total,Drinking water,2017,86.47635,2534146.34074,Safely managed service
ARM,Armenia,total,Drinking water,2017,0,0,Surface water
ARM,Armenia,total,Drinking water,2017,0.08662,2538.45727,Unimproved
ASM,American Samoa,total,Drinking water,2017,87.19869,48518.2223,Basic service
ASM,American Samoa,total,Drinking water,2017,0,0,Limited service
ASM,American Samoa,total,Drinking water,2017,12.57508,6996.90199,Safely managed service
ASM,American Samoa,total,Drinking water,2017,0,0,Surface water
ASM,American Samoa,total,Drinking water,2017,0.22623,125.87571,Unimproved
ATG,Antigua and Barbuda,total,Drinking water,2017,96.73919,98685.5787,At least basic
ATG,Antigua and Barbuda,total,Drinking water,2017,0,0,Limited service
ATG,Antigua and Barbuda,total,Drinking water,2017,0.09447,96.36677,Surface water
ATG,Antigua and Barbuda,total,Drinking water,2017,3.16635,3230.05452,Unimproved
AUS,Australia,total,Drinking water,2017,99.96994,24443209.08503,At least basic
AUS,Australia,total,Drinking water,2017,0,0,Limited service
AUS,Australia,total,Drinking water,2017,0,0,Surface water
AUS,Australia,total,Drinking water,2017,0.03006,7350.91497,Unimproved
AUT,Austria,total,Drinking water,2017,1.0938,95548.2999,Basic service
